season,city,date,team1,team2,toss_winner,toss_decisions,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue
2023,Ahmedabad,"March 31, 2023",Chennai Super Kings,Gujarat Titans,Gujarat Titans,Field,normal,0,Gujarat Titans,0,5,Rashid Khan,Narendra Modi Stadium
2023,Mohali,"April 1, 2023",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,normal,0,Punjab Kings,7,0,Arshdeep Singh,Inderjit Singh Bindra Stadium
2023,Lucknow,"April 1, 2023",Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Field,normal,0,Lucknow Super Giants,50,0,Mark Wood,BRSABV Ekana Cricket Stadium
2023,Hyderabad,"April 2, 2023",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,normal,0,Rajasthan Royals,72,0,Jos Buttler,Rajiv Gandhi International Cricket Stadium
2023,Bengaluru,"April 2, 2023",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,normal,0,Royal Challengers Bangalore,0,8,Faf du Plessis,M. Chinnaswamy Stadium
2023,Chennai,"April 3, 2023",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Field,normal,0,Chennai Super Kings,12,0,Moeen Ali,M. A. Chidambaram Stadium
2023,Delhi,"April 4, 2023",Delhi Capitals,Gujarat Titans,Gujarat Titans,Field,normal,0,Gujarat Titans,0,6,Sai Sudharsan,Arun Jaitley Stadium
2023,Guwahati,"April 5, 2023",Punjab Kings,Rajasthan Royals,Rajasthan Royals,Field,normal,0,Punjab Kings,5,0,Nathan Ellis,Assam Cricket Association Stadium
2023,Kolkata,"April 6, 2023",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,normal,0,Kolkata Knight Riders,81,0,Shardul Thakur,Eden Gardens
2023,Lucknow,"April 7, 2023",Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Bat,normal,0,Lucknow Super Giants,0,5,Krunal Pandya,BRSABV Ekana Cricket Stadium
2023,Guwahati,"April 8, 2023",Rajasthan Royals,Delhi Capitals,Delhi Capitals,Field,normal,0,Rajasthan Royals,57,0,Yashasvi Jaiswal,Assam Cricket Association Stadium
