Player,Matches,Innings,Not Out,Runs,High Score,Average,Balls Faced,Strike Rate,100,50,4s,6s
Devon Conway,15,14,2,625,92,52.08,456,137.06,0,6,73,16
Ruturaj Gaikwad,15,14,1,564,92,43.38,384,146.87,0,4,43,29
Shivam Dube,15,13,2,386,52,35.09,243,158.84,0,3,12,33
Ajinkya Rahane,13,10,1,299,71,33.22,176,169.88,0,2,22,14
Ravindra Jadeja,15,11,3,175,25,21.88,127,137.79,0,0,10,8
Ambati Rayudu,15,11,2,139,27,15.44,105,132.38,0,0,9,7
Moeen Ali,14,10,3,124,23,17.71,91,136.26,0,0,12,6
MS Dhoni,15,11,8,104,32,34.67,56,185.71,0,0,3,10
Ben Stokes,2,2,0,15,8,7.5,14,107.14,0,0,2,0
Mitchell Santner,3,2,2,2,1,,4,50,0,0,0,0
Deepak Chahur,9,1,1,1,1,,2,50,0,0,0,0
