Player,Matches,Not Out,Runs,Highest Score,Average,Balls Faced,Strike Rate,100,50,4s,6s
Nitish Rana,14,1,413,75,31.77,293,140.96,0,3,39,20
Rinku Singh,14,6,474,67,36.25,317,149.53,0,4,31,29
Rahmanullah Gurbaz,11,0,227,81,20.64,170,133.53,0,2,17,15
Narayan Jagadeesan,6,0,89,36,14.83,81,109.88,0,0,14,1
Litton Das,1,0,4,4,4,4,100,0,0,1,0
Mandeep Singh,3,0,14,12,4.67,16,87.5,0,0,0,1
Jason Roy,8,0,285,61,35.63,88,151.6,0,2,36,12
David Wiese,3,21,12,21,11,190.91,0,0,0,0,3
Anukul Roy,4,2,23,13,11.5,19,121.05,0,0,3,0
Andre Russell,14,3,227,42,20.64,156,145.51,0,0,13,18
Venkatesh Iyer,14,0,404,104,28.86,277,145.85,1,2,32,42
