Player,Matches,Overs,Runs,Wickets,BBI,Average,Economy,SR,4W,5W
Piyush Chawla,16,61,495,22,22/3,22.5,8.11,16.63,0,0
Akash Madhwal,8,25.3,219,14,5/5,15.64,8.58,10.92,1,1
Jason Behrendorff,12,42,387,14,23/3,27.64,9.21,18,0,0
Riley Meredith,5,19.4,207,7,33/2,29.57,10.52,16.85,0,0
Cameron Green,16,38,361,6,41/2,60.16,9.5,38,0,0
Kumar Kartikeya Singh,8,26,227,5,37/2,45.4,8.73,31.2,0,0
Arshad Khan,6,14.1,190,5,39/3,38,13.41,17,0,0
Hrithik Shokeen,8,19,187,3,34/2,62.33,9.84,38,0,0
Chris Jordan,6,22,237,3,7/1,79,10.77,44,0,0
Jofra Archer,5,20,190,2,35/1,95,9.5,60,0,0
