Player,Matches,Innings,Not Out,Runs,High Score,Average,Balls Faced,Strike Rate,100,50,4s,6s
Yashasvi Jaiswal,14,14,1,625,124,48.08,382,163.61,1,5,82,26
Jos Butler,14,14,0,392,95,28,282,139,0,4,42,14
Sanju Samson,14,14,2,362,66,30.17,236,153.38,0,3,25,24
Shimron Hetmyer,14,13,5,300,56,37.5,197,152.28,0,1,12,23
Devdutt Padikkal,11,11,1,261,52,26.1,200,130.5,0,2,31,6
Dhruv Jurel,13,11,4,152,34,21.71,88,172.72,0,0,11,9
Riyan Parag,7,7,1,78,20,13,66,118.18,0,0,4,5
Ravichandran Ashwin,13,10,4,67,30,11.17,51,131.37,0,0,5,3
Trent Boult,10,4,3,16,15,16,14,114.28,0,0,1,1
Jason Holder,8,3,1,12,11,6,11,109.09,0,0,0,1
Joe Root,3,1,0,10,10,10,15,66.66,0,0,1,0
Adam Zampa,6,3,0,10,7,3.33,16,62.5,0,0,0,0
